game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401760359,2025,1,Air Force,Mountain West,Bucknell,0.46,0.83,0.39,0.06,0.19,-0.08
401762789,2025,1,Akron,Mid-American,Wyoming,-0.23,-0.24,-0.04,0.08,0.24,-0.06
401752665,2025,1,Alabama,SEC,Florida State,0.1,0.16,0.0,0.29,0.36,0.27
401761589,2025,1,App State,Sun Belt,Charlotte,0.21,0.32,0.07,0.09,0.41,-0.11
401756849,2025,1,Arizona,Big 12,Hawai'i,0.28,-0.12,0.62,-0.04,0.0,-0.13
401756850,2025,1,Arizona State,Big 12,Northern Arizona,0.52,0.38,0.86,-0.01,0.01,0.08
401752666,2025,1,Arkansas,SEC,Alabama A&M,0.41,0.78,0.03,0.05,0.19,-0.12
401761591,2025,1,Arkansas State,Sun Belt,Southeast Missouri State,0.33,0.93,-0.23,0.19,0.39,-0.05
401762432,2025,1,Army,American Athletic,Tarleton State,0.09,0.6,-0.03,0.22,0.21,0.23
401752667,2025,1,Auburn,SEC,Baylor,0.29,0.37,0.26,0.3,0.4,0.04
401752801,2025,1,Ball State,Mid-American,Purdue,-0.03,-0.08,0.0,0.4,0.65,0.14
401752667,2025,1,Baylor,Big 12,Auburn,0.3,0.4,0.04,0.29,0.37,0.26
401762522,2025,1,Boise State,Mountain West,South Florida,-0.03,0.09,-0.19,0.32,0.28,0.36
401754518,2025,1,Boston College,ACC,Fordham,0.45,0.82,0.04,-0.19,-0.22,-0.14
401762790,2025,1,Bowling Green,Mid-American,Lafayette,-0.03,0.15,-0.11,-0.08,0.01,-0.19
401752793,2025,1,Buffalo,Mid-American,Minnesota,0.03,0.18,-0.11,0.22,0.52,-0.05
401756851,2025,1,BYU,Big 12,Portland State,0.66,0.64,0.67,-0.3,-0.25,-0.35
401752936,2025,1,California,ACC,Oregon State,0.16,0.3,0.02,0.09,0.31,-0.19
401760358,2025,1,Central Michigan,Mid-American,San José State,0.13,0.5,0.03,0.09,0.3,-0.06
401761589,2025,1,Charlotte,American Athletic,App State,0.09,0.41,-0.11,0.21,0.32,0.07
401752796,2025,1,Cincinnati,Big 12,Nebraska,0.19,-0.17,0.62,0.15,0.3,-0.05
401752671,2025,1,Clemson,ACC,LSU,-0.01,0.0,-0.03,0.06,0.1,0.02
401754616,2025,1,Coastal Carolina,Sun Belt,Virginia,-0.09,-0.03,-0.16,0.37,0.41,0.33
401754375,2025,1,Colorado,Big 12,Georgia Tech,0.15,0.16,0.14,0.35,0.33,0.36
401752805,2025,1,Colorado State,Mountain West,Washington,0.18,0.31,0.07,0.31,0.4,0.26
401757219,2025,1,Delaware,Conference USA,Delaware State,0.36,0.39,0.3,0.12,-0.12,0.29
401754517,2025,1,Duke,ACC,Elon,0.5,0.63,0.3,0.2,0.18,0.21
401754373,2025,1,East Carolina,American Athletic,NC State,0.16,0.39,-0.2,0.18,0.35,0.0
401761594,2025,1,Eastern Michigan,Mid-American,Texas State,0.36,0.47,0.24,0.67,0.62,0.7
401752668,2025,1,Florida,SEC,Long Island University,0.36,0.38,0.33,-0.46,-0.31,-0.52
401752797,2025,1,Florida Atlantic,American Athletic,Maryland,-0.23,-0.1,-0.19,0.04,0.18,-0.19
401766898,2025,1,Florida International,Conference USA,Bethune-Cookman,0.41,0.12,0.69,-0.02,-0.04,0.0
401752665,2025,1,Florida State,ACC,Alabama,0.29,0.36,0.27,0.1,0.16,0.0
401760361,2025,1,Fresno State,Mountain West,Georgia Southern,0.36,0.52,0.41,0.2,0.48,-0.07
401756847,2025,1,Fresno State,Mountain West,Kansas,0.06,0.48,-0.27,0.34,0.86,0.05
401752669,2025,1,Georgia,SEC,Marshall,0.38,0.5,0.29,0.0,0.25,-0.16
401760361,2025,1,Georgia Southern,Sun Belt,Fresno State,0.2,0.48,-0.07,0.36,0.52,0.41
